id,pattern,description,category,subcategory,subsubcategory,json
120,Exhibition Provenance: Transfer of Custody,"As objects used for exhibitions frequently come from many different organizations, it is useful and interesting to track the custody of the object as well as the ownership. This TransferOfCustody event is modeled in the same way as other Provenance changes.

For each exhibition, the custody of the object is transferred from the previous custodian to the next. In the simple case of a single venue for the exhibition, the first transfer is likely to be from the owner to the organization responsible for the exhibition, and then at the end of the exhibition, the custody is transferred back again. In a more complex scenario with multiple venues, each organization hosting the exhibition will likely transfer custody to the next in the sequence. Unlike regular provenance transfers, these happen for a specific purpose ... the exhibition. This is added to the model with the specific_purpose property.",Exhibitions,Objects,,https://linked.art/example/provenance/2
121,Exhibition Provenance: Internal Moves,"Conversely to the previous section, when the object being exhibited at the location is owned by the same organization, there is no transfer of custody. The equivalent activity is likely to be simply moving the object from its regular location to the exhibition space. If the exhibition location is not known, then there is no need to provide the moved_to and moved_from relationships for the Move activity.
",Exhibitions,Objects,,https://linked.art/example/provenance/3
122,Exhibition Specific Labels,"The curators for exhibitions sometimes assign new labels or names for objects, for example to ensure that they follow an established pattern for the exhibition, rather than following that of the owning organization or person, if any. This activity of assigning a title to the object is part of the exhibition via the part property, and assigns a new Name to the object. This separation of the name from the object via the AttributeAssignment ensures that the Name does not directly end up in the set of titles for the object without further intervention. As with any activity, the assignment can also be carried_out_by an actor, and have a timespan for when it was assigned. This is an instance of the Context Specific Assertions pattern.

",Exhibitions,Objects,,
123,Depiction of the Object at the Exhibition,"There are often photographs of the object as displayed in the exhibition. These are representations of the object regardless, and hence can be associated directly with the object rather than via an AttributeAssignment. The description of the image therefore follows the same pattern as other digital representations of the object, but like the label example above, it occurred as part of the exhibition.

The same pattern of having the creation of the image as part of the exhibition activity does not suffice, as the image could be a digital reproduction of physical photograph, created much later than the exhibition. Secondly, the creation of the photograph was very likely not carried out as part of carrying out the exhibition by the museum, it could easily have been taken by a visitor.",Exhibitions,Objects,,
124,"Physical Objects, Conceptual Texts","The first distinction that is needed is between the physical carrier of the text, and the text itself. Like the VisualItem pattern for the artwork's visual content shown by objects, the LinguisticObject that represents the text of a work can be carried by many HumanMadeObjects. In this way, all of the copies of a particular book carry the same information content, that only needs to be described once and can act as a single connection point.

Like other LinguisticObjects, it can have a value for the actual text of the work, classifications, languages and so forth.",Texts and Documents,,,https://linked.art/example/object/35
125,Core Features,"The same core features of all other resources are also applicable to the LinguisticObjects used to represent texts. They must have an id and type, they should have a label, they should have a classified_as relationship to a Type that further describes the sort of object, and so forth. They may also have a language property, that references a Language resource.

The title of a text is captured using the Name pattern, and assigned identifiers using the Identifier pattern, referenced with the identified_by relationship.",Texts and Documents,,,https://linked.art/example/text/1
126,Creation and Publication,"The production of the physical carriers of texts uses the same model as for other physical objects, and may be of interest for manuscripts, very early printed works (incunabula), letters or other similar documents, however the factory details for a specific modern book are likely of much less importance to capture.

There are two primary text-specific activities that are captured -- the creation of the text, being the conceptual LinguisticObject and its publication. The text is created by a Creation activity of the author, but then there is a publishing Activity (aat:300054686) carried out by the publishing organization, for the same resource.",Texts and Documents,,,https://linked.art/example/text/2
127,Structure,"The textual structure can be modeled with the partitioning of LinguisticObjects via the part_of property, in the same way that the parts of a physical object can be partitioned. Thus the content of an Article can be part of the containing Issue, which is part of a Volume, which is part of the Journal or other periodical. Similarly Chapters can be part of a Book or Proceedings, particular entries within a catalog, and so forth.
",Texts and Documents,,,https://linked.art/example/text/3
128,"Pagination Statement
",The easiest way to describe the page range of a particular section of a larger collection is with a pagination statement. The disadvantage of the approach is that it is not computationally available for processing.,Texts and Documents,Pages,,https://linked.art/example/text/4
129,Abstracts,"While the full text of the LinguisticObject may be either too long to provide, or protected by publication and access restrictions, it is common for an abstract to be published and circulated openly. This abstract might be provided by some other actor than the author of the content, such as via an abstracting and indexing service. In this case, the Abstract would have its own separate Creation activity from that of the abstracted content.",Texts and Documents,,,https://linked.art/example/text/5
130,References to other Resources,"Textual content can refer_to other resources in the overall model. These references might be just that the content discusses the resource, such as a mention of a particular painting. Equally, the reference might be that the content was used as the evidence for the resource, such as a Materials Statement being the evidence for the Materials in the model that the painting is asserted to be made_of.",Texts and Documents,,,https://linked.art/example/text/6
131,Translations ,"One Linguistic Object, be it captured in the model as a Statement or as the full text content carried by a physical object, can be the translation of another. For example an article can be the translation of an original article in a different language. This is represented using the translation_of relationship.",Texts and Documents,,,https://linked.art/example/text/7
132,Assignment of Attributes,"The AttributeAssignment class is an Activity, carried out by curators or researchers rather than by artists or collectors, that assigns information to resources in the model. This can be used to assign any property or relationship on any resource that can be the subject of such a property. The general Activity properties of carried_out_by, timespan and took_place_at are available for when and where the assignment happened, and who made it. The timespan is the moment when the assignment took place, rather than the length of time that the assignment was held to be true by some audience.

This pattern is useful when you do not want to assert the relationship directly, such as for a name that was previously given to the object but is no longer actively used. Or an attribution of an artist that is possibly true, but might only be an informed guess.

The value of the assignment is given using assigned, and it can be any resource or value. The resource that the value is assigned to is given using the attributed_by property on that resource, and the relationship between them is given using assigned_property. Thus an AttributeAssignment can assign an Actor to a Production with the carried_out_by relationship, or a Name to an Actor with the identified_by relationship. In terms of the relationship that the AttributeAssignment expresses, the resource with the attributed_by property is the subject of the relationship, the relationship itself is given in assigned_property, and the object of the relationship is given in assigned, thereby making up a regular 'triple' of subject, predicate, object.",Previously-Held or Context-Specific Assertions,,,https://linked.art/example/object/19
133,Assigned Value as Resource,"In other situations the assigned value is the appropriate resource with which to associate the AttributeAssignment. In this case we flip the AttributeAssignment around and use assigned_by on the value of the assignment (the object of the relationship), and do not specify the subject of the relationship as it's the resource which refers to the value. For example, it is very useful to be able to assert which organization created and assigned an identifier to an object of a given type in order to disambiguate that organization's identifier from another organization's identifier of the same type, such as accession numbers. Another use case is giving further information about a particular Dimension associated with the object, such as who measured it, when, with which instrument, and so on.

In this case, the subject of the relationship is the resource which refers to the value, the predicate is that relationship, and the object is the resource with the assigned_by property which refers to the AttributeAssignment.",Previously-Held or Context-Specific Assertions,Assignment of Attributes,,https://linked.art/example/object/20
134,"""Style Of"" Attribution","There is a common special case of wanting to assign not an individual (e.g. Rembrandt) or a group with specific identity (Workshop of Rembrandt) to the production of an object, but simply to say that it was produced as if it had been produced by some other actor. This is traditionally recorded as being ""in the style of"" or ""in the manner of"" a known artist. It is not correct to say that Rembrandt carried out the production, but a search for objects attributed (loosely speaking) to Rembrandt should discover this object. The assessment of ""style of"" attribution is a judgement decision that might be changed later as new evidence of the actual creator comes to light.

The approach taken for this case is to use an AttributeAssignment that associates a Production activity that is influenced_by the artist and classified_as being in the ""style of"" (aat:300404285). This prevent systems from mistakenly infering that the actor carried_out the production, but is consistent with the overall pattern.

This would also apply to cases where there is a ""circle of"" or ""follower of"" and similar attributions in which there is doubt that there was an actual coherent group, and thus there is reluctance to give that hypothetical group an identity. Instead of using the ""style of"" AAT concept, it would use another attribution qualifiers.",Previously-Held or Context-Specific Assertions,Assignment of Attributes,,
135,Context Specific Assertions,"The basic pattern for making an assertion within some context is to reuse the AttributeAssignment activity, and have it be part of some larger activity. A good example of this is the assignment of a particular title to a work during an Exhibition. This could equally be part of the larger cataloging activity of an organization, an art dealer taking inventory, or any number of other contexts.

There are two relationships to note with this pattern. The first is that the broader activity has a part which is the AttributeAssignment. This gives some basic temporal context for the assignment. There is also in many cases a set of objects or other resources that provide additional context. In the Exhibition case, the set of objects and their labels in the exhibit is involved in the provision of the Name of the individual object.",Previously-Held or Context-Specific Assertions,,,
136,Inferred Data,"Some assertions, or even entire resources, are computationally inferred from other data rather than being evidenced in primary source literature or history. It is useful to tag these resources as such, so that they can be treated appropriately when it comes to research making use of them: if the underlying data has errors, these errors will have been propogated to this resource.

The way that this can be signalled in the data is to add the ""computer-generated"" concept aat:300202389 to the resource in the classified_as field.",Previously-Held or Context-Specific Assertions,,,https://linked.art/example/event/2
